country,date,cases,new_daily
Argentina,1/22/20,0,0
Argentina,1/23/20,0,0
Argentina,1/24/20,0,0
Argentina,1/25/20,0,0
Argentina,1/26/20,0,0
Argentina,1/27/20,0,0
Argentina,1/28/20,0,0
Argentina,1/29/20,0,0
Argentina,1/30/20,0,0
Argentina,1/31/20,0,0
Argentina,2/1/20,0,0
Argentina,2/2/20,0,0
Argentina,2/3/20,0,0
Argentina,2/4/20,0,0
Argentina,2/5/20,0,0
Argentina,2/6/20,0,0
Argentina,2/7/20,0,0
Argentina,2/8/20,0,0
Argentina,2/9/20,0,0
Argentina,2/10/20,0,0
Argentina,2/11/20,0,0
Argentina,2/12/20,0,0
Argentina,2/13/20,0,0
Argentina,2/14/20,0,0
Argentina,2/15/20,0,0
Argentina,2/16/20,0,0
Argentina,2/17/20,0,0
Argentina,2/18/20,0,0
Argentina,2/19/20,0,0
Argentina,2/20/20,0,0
Argentina,2/21/20,0,0
Argentina,2/22/20,0,0
Argentina,2/23/20,0,0
Argentina,2/24/20,0,0
Argentina,2/25/20,0,0
Argentina,2/26/20,0,0
Argentina,2/27/20,0,0
Argentina,2/28/20,0,0
Argentina,2/29/20,0,0
Argentina,3/1/20,0,0
Argentina,3/2/20,0,0
Argentina,3/3/20,1,1
Argentina,3/4/20,1,0
Argentina,3/5/20,1,0
Argentina,3/6/20,2,1
Argentina,3/7/20,8,6
Argentina,3/8/20,12,4
Argentina,3/9/20,12,0
Argentina,3/10/20,17,5
Argentina,3/11/20,19,2
Argentina,3/12/20,19,0
Argentina,3/13/20,31,12
Argentina,3/14/20,34,3
Argentina,3/15/20,45,11
Argentina,3/16/20,56,11
Argentina,3/17/20,68,12
Argentina,3/18/20,79,11
Argentina,3/19/20,97,18
Argentina,3/20/20,128,31
Argentina,3/21/20,158,30
Argentina,3/22/20,266,108
Argentina,3/23/20,301,35
Argentina,3/24/20,387,86
Argentina,3/25/20,387,0
Argentina,3/26/20,502,115
Argentina,3/27/20,589,87
Argentina,3/28/20,690,101
Argentina,3/29/20,745,55
Argentina,3/30/20,820,75
Argentina,3/31/20,1054,234
Argentina,4/1/20,1054,0
Argentina,4/2/20,1133,79
Argentina,4/3/20,1265,132
Argentina,4/4/20,1451,186
Argentina,4/5/20,1451,0
Argentina,4/6/20,1554,103
Argentina,4/7/20,1628,74
Argentina,4/8/20,1715,87
Argentina,4/9/20,1795,80
Argentina,4/10/20,1975,180
Argentina,4/11/20,1975,0
Argentina,4/12/20,2142,167
Argentina,4/13/20,2208,66
Argentina,4/14/20,2277,69
Argentina,4/15/20,2443,166
Argentina,4/16/20,2571,128
Argentina,4/17/20,2669,98
Argentina,4/18/20,2758,89
Argentina,4/19/20,2839,81
Argentina,4/20/20,2941,102
Argentina,4/21/20,3031,90
Argentina,4/22/20,3144,113
Argentina,4/23/20,3435,291
Argentina,4/24/20,3607,172
Argentina,4/25/20,3780,173
Argentina,4/26/20,3892,112
Argentina,4/27/20,4003,111
Argentina,4/28/20,4127,124
Argentina,4/29/20,4285,158
Argentina,4/30/20,4428,143
Argentina,5/1/20,4532,104
Argentina,5/2/20,4681,149
Argentina,5/3/20,4783,102
Argentina,5/4/20,4887,104
Argentina,5/5/20,5020,133
Argentina,5/6/20,5208,188
Argentina,5/7/20,5371,163
Argentina,5/8/20,5611,240
Argentina,5/9/20,5776,165
Argentina,5/10/20,6034,258
Argentina,5/11/20,6278,244
Argentina,5/12/20,6563,285
Argentina,5/13/20,6879,316
Argentina,5/14/20,7134,255
Argentina,5/15/20,7479,345
Argentina,5/16/20,7805,326
Argentina,5/17/20,8068,263
